agency_id,freelancer_id,skill_match_score,trust_score,experience_score,availability_score,similarity_score,location_score,kyc_bonus,liveness_bonus,was_hired
1,1,0.07589100759264991,0.08689199096153863,0.0,0.011143685043329415,0.0,0.20394165811944853,0.0,1.0,1
1,5,0.045396580789801924,0.14345383938407427,9.809096141107227e-05,0.0,0.034777958235976965,0.16586112651838947,0.0,1.0,0
1,6,0.050324648286563786,0.12425658807398986,0.0,0.029375999480422466,0.011638983514502446,0.16383074453584662,0.0,1.0,0
1,7,0.034853506170331186,0.28731463461683737,0.04387756818387185,0.0,0.034214431856463334,0.19536549717738333,0.0,1.0,0
1,8,0.04247855313333598,0.14972107171993573,0.053837602493863,0.028830982803428072,0.003485220978755682,0.22446486524038253,0.0,1.0,0
1,1001,0.022667434871739965,0.7298825008910079,0.2904150629627625,0.013686504449303912,0.0007163402668152729,0.42465680633281044,1.0,1.0,0
1,1002,0.002870041877103515,0.5695809044978356,0.09212907202959544,0.659170243690689,0.001819513960481076,0.4581365242027744,1.0,1.0,0
1,1003,0.009837667465132646,0.22459730105604517,0.2501947499414568,0.020052765459785387,0.0,0.5353891642818734,1.0,1.0,0
1,1004,0.022365013890341536,0.2822048008234873,0.6849976500202373,0.2809309352421764,0.0,0.4714918279340929,1.0,1.0,0
1,1005,0.02696236758435858,0.25687840646465815,0.004435924082193917,0.9550548824991677,0.03691488762076737,0.4834712467839797,1.0,1.0,0
1,1006,0.001505735867562739,0.7179639887922434,0.9460884044635515,0.9732966416340888,0.0,0.4976796468392959,1.0,1.0,0
1,1007,0.12033881964532676,0.194643088882429,0.7528273384771652,0.02395158366678131,0.0,0.5114019833933215,0.0,1.0,0
1,1008,0.03481140779993199,0.22153360442557873,0.8163234545011078,0.23291618741198697,0.010153967892674795,0.31351802239855503,0.0,1.0,1
1,1009,0.0,0.7227641422987254,0.08234865270293679,0.022830119132745668,0.03155099665897213,0.4830149177665149,1.0,1.0,0
1,1010,0.0,0.4068944898494285,0.038029325532632344,0.5741059126604835,0.0,0.46361724632424645,1.0,1.0,0
1,1011,0.023529397494800375,0.1285047927750922,0.6868613471312413,0.5610095413759973,0.0,0.6311033241506895,1.0,1.0,0
1,1012,0.00048630041509304864,0.5713997011579216,0.37060028287517544,0.2693965025364249,0.029251094953190306,0.4666707252795998,1.0,1.0,0
1,1013,0.04623177247560017,0.18374694910482764,0.013754482232703348,1.0,0.06299941475302008,0.4955187313436619,0.0,1.0,0
